Ukazovate–;;Mzdy a n hrady mzdy (tis. Eur);;;;;;;;;;;;;;;;;;;;;Priemern  nomin lna mesaŸn  mzda zamestnanca (Eur);;;;;;;;;;;;;;;;;;;;
;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;
;;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny;Spolu;Mu§i;¦eny
Okres Bratislava I;Spolu;996 417;564 792;431 625;1 038 273;593 375;444 897;925 114;478 074;447 039;1 046 394;555 004;491 390;1 131 046;617 666;513 380;1 320 077;711 963;608 114;1 436 283;771 120;665 163;1 293;1 595;1 036;1 275;1 529;1 044;1 211;1 375;1 075;1 247;1 441;1 083;1 237;1 426;1 066;1 334;1 560;1 141;1 375;1 626;1 166
;Po–nohospod rstvo, lesn¡ctvo a rybolov;697;566;130;1 390;1 120;270;D;D;D;D;D;D;D;D;D;-;-;-;D;D;D;629;663;514;650;678;557;D;D;D;D;D;D;D;D;D;-;-;-;D;D;D
;Priemysel spolu;56 068;38 256;17 813;74 215;50 462;23 753;61 737;39 950;21 787;88 736;55 185;33 551;82 463;49 768;32 695;95 472;56 921;38 551;107 665;65 761;41 904;1 500;1 689;1 210;1 489;1 712;1 166;1 277;1 407;1 091;1 373;1 552;1 154;1 372;1 610;1 120;1 445;1 639;1 231;1 625;1 821;1 391
;›a§ba a dobìvanie;0;0;0;D;D;D;D;D;D;D;D;D;D;D;D;-;-;-;D;D;D;0;0;0;D;D;D;D;D;D;D;D;D;D;D;D;-;-;-;D;D;D
;Priemyseln  vìroba;42 219;29 603;12 616;49 952;32 980;16 972;41 709;27 110;14 599;68 011;41 321;26 691;61 698;35 653;26 045;70 966;40 636;30 330;70 529;40 582;29 947;1 510;1 697;1 200;1 250;1 398;1 036;1 077;1 180;928;1 218;1 346;1 061;1 209;1 389;1 026;1 287;1 439;1 128;1 409;1 560;1 245
;Dod vka elektriny, plynu, pary a studen‚ho vzduchu;13 338;8 393;4 945;23 730;17 224;6 506;19 425;12 511;6 914;20 302;13 717;6 586;20 375;13 923;6 452;24 050;16 061;7 989;D;D;D;1 506;1 706;1 256;2 559;3 081;1 766;2 162;2 484;1 751;2 449;2 935;1 822;2 374;2 779;1 807;2 320;2 586;1 921;D;D;D
;"Dod vka vody; Ÿistenie a odvod odpadovìch v“d, odpady a slu§by odstraåovania odpadov";512;260;252;533;258;276;603;329;274;423;148;275;D;D;D;457;225;232;415;215;201;911;898;925;888;878;899;903;894;914;859;829;876;D;D;D;815;802;828;902;862;948
;Stavebn¡ctvo;17 028;14 822;2 207;25 204;18 852;6 351;13 415;8 381;5 034;26 335;19 055;7 280;20 941;14 926;6 015;23 224;17 225;5 999;21 691;19 269;2 421;1 134;1 140;1 094;1 340;1 347;1 321;1 436;1 461;1 395;1 397;1 453;1 271;1 411;1 454;1 317;1 567;1 613;1 448;1 555;1 622;1 171
;"Ve–koobchod a maloobchod; oprava motorovìch vozidiel a motocyklov";72 359;39 346;33 013;62 871;31 588;31 283;75 313;39 288;36 025;93 187;46 468;46 720;100 058;47 692;52 366;123 686;59 101;64 585;123 556;63 183;60 373;1 293;1 661;1 023;993;1 235;829;1 006;1 094;926;1 026;1 103;960;1 100;1 394;923;1 202;1 527;1 006;1 186;1 514;967
;Doprava a skladovanie;57 246;37 709;19 537;55 127;36 179;18 948;44 511;29 074;15 437;53 510;37 119;16 391;55 520;38 412;17 107;60 397;41 171;19 226;63 667;44 012;19 654;883;876;898;890;893;883;1 014;1 052;950;1 002;1 033;937;969;988;929;1 078;1 107;1 021;1 137;1 184;1 045
;Ubytovacie a stravovacie slu§by;18 672;9 701;8 971;15 583;7 022;8 561;11 312;5 136;6 176;19 000;8 141;10 859;25 374;15 218;10 156;21 128;10 693;10 435;22 869;11 208;11 661;817;956;706;726;782;685;784;1 026;656;797;946;712;794;826;751;787;832;746;814;848;784
;Inform cie a komunik cia;83 327;62 025;21 302;94 215;69 430;24 784;65 605;47 737;17 869;67 543;47 832;19 711;72 147;53 154;18 993;78 100;56 217;21 882;80 011;59 406;20 605;2 012;2 420;1 350;2 040;2 456;1 382;1 807;2 014;1 418;1 697;1 927;1 316;1 686;1 846;1 357;1 826;2 008;1 482;1 869;2 033;1 515
;FinanŸn‚ a poisœovacie Ÿinnosti;224 393;114 667;109 726;205 777;116 000;89 778;170 622;79 484;91 138;196 308;94 602;101 706;195 796;94 774;101 021;240 637;116 165;124 473;254 660;120 729;133 931;1 725;2 662;1 261;2 048;3 112;1 421;1 775;2 448;1 432;1 863;2 459;1 520;1 719;2 239;1 411;1 912;2 549;1 550;1 883;2 512;1 536
